City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Dinghai,CN,2023-02-02 12:04:22,26.2847,119.7936,49.12,75,54,16.96
67,Port Lincoln,AU,2023-02-02 12:00:54,-34.7333,135.8667,59.38,63,90,22.41
68,Maralal,KE,2023-02-02 12:04:23,1.0968,36.698,79.18,20,99,11.3
69,Kapaa,US,2023-02-02 12:04:23,22.0752,-159.319,73.72,94,75,9.22
70,Half Moon Bay,US,2023-02-02 12:00:46,37.4636,-122.4286,47.86,70,20,0.0
71,Husavik,IS,2023-02-02 12:04:24,66.0449,-17.3389,29.26,85,100,16.15
72,Asau,RO,2023-02-02 12:04:24,46.4333,26.4,34.72,74,100,11.18
73,Castro,BR,2023-02-02 12:01:49,-24.7911,-50.0119,71.4,84,77,5.23
74,Port Alfred,ZA,2023-02-02 12:04:24,-33.5906,26.891,77.18,73,59,5.99
75,Butaritari,KI,2023-02-02 12:04:25,3.0707,172.7902,80.83,77,100,20.2
76,Tiksi,RU,2023-02-02 12:04:25,71.6872,128.8694,-17.86,98,100,8.9
77,Porirua,NZ,2023-02-02 12:04:25,-41.1333,174.85,70.84,73,100,8.93
78,Ponta Delgada,PT,2023-02-02 12:04:26,37.7333,-25.6667,61.52,67,20,13.8
79,Georgetown,MY,2023-02-02 12:02:05,5.4112,100.3354,84.13,82,40,11.99
80,Dire Dawa,ET,2023-02-02 12:04:26,9.5931,41.8661,82.45,17,50,11.48
81,San Quintin,MX,2023-02-02 12:04:27,30.4833,-115.95,53.15,62,3,1.21
82,Khatanga,RU,2023-02-02 12:04:27,71.9667,102.5,-18.56,99,98,3.8
83,Morristown,US,2023-02-02 11:59:29,36.214,-83.2949,38.7,88,100,1.99
84,Thinadhoo,MV,2023-02-02 12:04:28,0.5333,72.9333,81.59,67,24,16.71
85,Hilo,US,2023-02-02 12:04:28,19.7297,-155.09,77.29,77,20,5.75
86,Chapais,CA,2023-02-02 12:04:28,49.7834,-74.8492,1.18,99,100,4.72
87,Baykit,RU,2023-02-02 12:04:28,61.67,96.37,2.89,99,100,2.8
88,Guerrero Negro,MX,2023-02-02 12:04:29,27.9769,-114.0611,53.94,58,11,5.75
89,Poum,NC,2023-02-02 12:04:29,-20.2333,164.0167,81.63,72,73,13.15
90,Lata,PT,2023-02-02 12:05:30,40.1629,-8.3327,61.07,48,0,4.21
91,Uige,AO,2023-02-02 12:05:30,-7.6087,15.0613,86.97,44,34,4.21
92,Grand-Santi,GF,2023-02-02 12:05:30,4.25,-54.3833,75.0,94,99,1.7
93,Amga,RU,2023-02-02 12:05:31,60.8953,131.9608,-18.04,99,100,0.96
94,Inuvik,CA,2023-02-02 12:00:43,68.3499,-133.7218,-28.34,68,0,4.61
95,Yellowknife,CA,2023-02-02 12:04:04,62.456,-114.3525,-37.68,67,0,8.05
96,Avarua,CK,2023-02-02 12:05:31,-21.2078,-159.775,75.25,94,100,9.22
97,East London,ZA,2023-02-02 12:02:07,-33.0153,27.9116,77.94,69,0,10.36
98,Srednekolymsk,RU,2023-02-02 12:05:32,67.45,153.6833,-32.8,100,69,4.9
99,Hithadhoo,MV,2023-02-02 12:05:32,-0.6,73.0833,81.95,68,45,18.16
100,Nelson Bay,AU,2023-02-02 12:05:32,-32.7167,152.15,77.05,94,4,4.0
101,Bethel,US,2023-02-02 12:00:35,41.3712,-73.414,21.15,75,95,3.18
102,Hambantota,LK,2023-02-02 12:05:33,6.1241,81.1185,79.14,100,75,4.61
103,Chas,IN,2023-02-02 12:05:33,23.6333,86.1667,72.7,17,90,8.05
104,Sept-Iles,CA,2023-02-02 12:00:45,50.2001,-66.3821,5.0,84,100,4.61
105,Nyurba,RU,2023-02-02 12:05:34,63.2842,118.3319,-21.35,100,98,4.34
106,Linkoping,SE,2023-02-02 12:04:51,58.4109,15.6216,32.81,83,0,9.22
107,Codrington,AU,2023-02-02 12:05:34,-38.2667,141.9667,52.92,75,65,21.34
108,Nome,US,2023-02-02 12:05:35,64.5011,-165.4064,19.47,93,100,3.44
109,Bredasdorp,ZA,2023-02-02 12:05:35,-34.5322,20.0403,79.57,39,4,16.22
110,Tasiilaq,GL,2023-02-02 12:05:36,65.6145,-37.6368,21.36,60,100,37.36
111,Aquidauana,BR,2023-02-02 12:05:36,-20.4711,-55.7872,75.65,92,95,2.26
112,Sioux Lookout,CA,2023-02-02 12:00:43,50.1001,-91.917,-12.93,64,75,12.66
113,Oskemen,KZ,2023-02-02 12:05:37,49.9565,82.6119,8.56,78,40,2.24
114,Lebrija,ES,2023-02-02 12:05:37,36.9208,-6.0753,60.3,47,20,4.61
115,Sao Felix Do Xingu,BR,2023-02-02 12:05:37,-6.6447,-51.995,70.23,96,98,0.87
116,Cherskiy,RU,2023-02-02 12:05:38,68.75,161.3,-11.51,100,97,3.27
117,Vila,PT,2023-02-02 12:05:38,42.0304,-8.1588,45.7,51,0,1.97
118,Yulara,AU,2023-02-02 12:05:38,-25.2406,130.9889,78.12,22,0,19.19
119,Puerto Ayora,EC,2023-02-02 12:05:39,-0.7393,-90.3518,74.55,99,88,2.1
120,Huicungo,PE,2023-02-02 12:05:39,-7.2833,-76.8,70.23,98,97,0.72
